Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules
Person,Information on individuals participating in consortia activities,,"Component, Name, Alternative Names, Email, Url, Orcid Id, Synapse Profile Id, Last Known Institution, Working Group Participation, Chair Roles, Consent For Portal Display, Portal Display",FALSE,,,,,
Name,Name of the individual,,,TRUE,,,,,
Alternative Names,"Other ways the individual's name is displayed. Multiple values permitted, comma separated.",,,FALSE,,,,,list like
Email,Email address of the individual,,,FALSE,,,,,
Url,"URL, e.g., individual's home page address",,,FALSE,,,,,
Orcid Id,Unique identifier (ORCID ID) of the individual,,,FALSE,,,,,regex search \d{4}\-\d{4}\-\d{4}\-\d{3}(\d|X)
Synapse Profile Id,Unique identifier (Synapse Profile ID) of the individual. See identifer in the url of the synapse profile page. ,,,FALSE,,,,,unique
Last Known Institution,Last known institutional affiliation of the individual.,,,TRUE,,,,,
Working Group Participation,"CSBC/PSON working group(s) of which the individual is a member (current and former). Multiple values permitted, comma separated.","None, Education and Outreach, Resource and Data Sharing, Cancer Metabolism, Cell and Tissue Mechanics, Image Analysis, Navigating Cancer with Science and Art, Patient Advocacy Working Group, Protein-Protein Interactions",,TRUE,,,,,list like
Chair Roles,"Committee or working group chair role(s) the individual fulfilled (current and former). Multiple values permitted, comma separated.","None, Steering Committee, Working Group, Annual Meeting",,TRUE,,,,,list like
Consent For Portal Display,Consent from individual to display Person information in the CCKP,"Yes, No",,TRUE,,,,,
Portal Display,Display content in CCKP,"True, False",,TRUE,,,,,
Person Consortium,"Consortiums associated with a person, joined by uuids from the person and consortium table.",,"Component, Person, Consortium",FALSE,,,"Person, Consortium",,
Person View,The denormalized manifest for person submission.,,"Component, Person Grant Number, Person Consortium Name, Name, Alternative Names, Email, Url, Orcid Id, Synapse Profile Id, Last Known Institution, Working Group Participation, Chair Roles, Consent For Portal Display, Portal Display, Person Publications, Person Datasets, Person Tools",FALSE,,,"Publication, Dataset, Tool, Consortium, Grant, Person",,
Person Grant Number,"Grant number(s) associated with the person. Multiple values permitted, comma separated.","CA209891, CA225088, CA217655, CA210152, CA214282, CA214354, CA215798, CA215709, CA215794, CA215848, CA220378, CA227550, CA232137, CA232161, CA232382, CA217378, CA217376, CA217450, CA231978, CA238720, CA232216, CA243007, CA227544, CA243073, CA238475, CA209923, CA209997, CA209975, CA209971, CA209992, CA193419, CA210190, CA193417, CA193489, CA193461, CA193313, CA210181, CA210180, CA210173, CA210184, CA202123, CA202177, CA202241, CA202144, CA202229, CA209978, CA184898, CA217377, CA209988, CA217297, CA199315, CA188388, CA215845, CA184897, CA195469, CA250046, CA250040, CA214297, CA244107, CA244101, CA244100, CA244109, CA225566, CA214292, CA214411, CA214300, CA214369, CA214381, CA227136, CA241927, CA240301, CA232209, CA232517, CA245313, CA243072, CA243075, CA238728, CA243004, CA253553, CA253472, CA253540, CA253547, CA228963, CA261842, CA234787, CA264610, CA264620, CA261822, CA250044, CA261841, CA254886, CA250481, CA260432, CA249799, CA254200, CA253248, CA256481, CA248890, CA251443, CA241137, CA256054, CA268069, CA268084, CA268083, CA268072, CA261719, CA261694, CA261717, CA261701, CA224013, CA217514, CA217613, CA224012, CA223976, CA217456, CA224044, CA228608, CA217617, CA235747, CA264583, CA274494, CA267170, CA263001, CA264611, CA271273, CA275808, CA274492, CA274499, CA274502, CA274509, Affiliated/Non-Grant Associated",,TRUE,,,,,list like
Person Consortium Name,"Consortium(s) associated with the person. Multiple values permitted, comma separated.","CSBC, PS-ON, TEC, ICBP, NCI, Sage Bionetworks, HTAN, NCI Clinical and Translational Exploratory/Developmental Studies, CCBIR, MetNet, PDMC",,TRUE,,,,,list like
Person Publications,"A list of the pubmed Ids associated with the person. Multiple values permitted, comma separated.",,,FALSE,,,,,list like
Person Datasets,"A list of the dataset aliases (An alias of the dataset must be unique. Can be the GEO identifier such as GSE12345, or a DOI. No Greek Letters) associated with the person. Multiple values permitted, comma separated.",,,FALSE,,,,,list like
Person Tools,"A list of the tool names associated with the person. Multiple values permitted, comma separated.",,,FALSE,,,,,list like
